series,baker,technical_winner,technical_median,series_winner,baker_full,total_episodes_appeared,age,occupation,hometown,baker_last,baker_first
9,Antony,0,9,0,Antony Amourdoux,3,30,Banker,London,Amourdoux,Antony
9,Briony,2,5,0,Briony Williams,9,33,Full-time parent,Bristol,Williams,Briony
9,Dan,1,3.5,0,Dan Beasley-Harling,6,36,Full-time parent,London,Beasley-Harling,Dan
9,Imelda,0,11,0,Imelda McCarron,1,33,Countryside recreation officer,County Tyrone,McCarron,Imelda
9,Jon,1,3,0,Jon Jenkins,7,47,Blood courier,Newport,Jenkins,Jon
9,Karen,0,7,0,Karen Wright,5,60,In-store sampling assistant,Wakefield,Wright,Karen
9,Kim-Joy,1,4.5,0,Kim-Joy Hewlett,10,27,Mental health specialist,Leeds,Hewlett,Kim-Joy
9,Luke,0,7.5,0,Luke Thompson,2,30,Civil servant/house and techno DJ,Sheffield,Thompson,Luke
9,Manon,0,4,0,Manon Lagrève,8,26,Software project manager,London,Lagrève,Manon
9,Rahul,1,3.5,1,Rahul Mandal,10,30,Research scientist,Rotherham,Mandal,Rahul
9,Ruby,3,3,0,Ruby Bhogal,10,29,Project manager,London,Bhogal,Ruby
9,Terry,1,8,0,Terry Hartill,5,56,Retired air steward,West Midlands,Hartill,Terry
10,Alice,2,4.5,0,Alice Fevronia,10,28,Geography teacher,Essex,Fevronia,Alice
10,Amelia,0,9,0,Amelia Le Bruin,3,24,Fashion designer,Halifax,Bruin,Amelia
10,Dan,0,9,0,Dan Chambers,1,32,Support worker,Rotherham,Chambers,Dan
10,David,2,2,1,David Atherton,10,36,International health adviser,Whitby,Atherton,David
10,Helena,1,9,0,Helena Garcia,5,40,Online project manager,Leeds,Garcia,Helena
10,Henry,2,3,0,Henry Bird,8,20,Student,Durham,Bird,Henry
10,Jamie,0,12,0,Jamie Finn,2,20,Part-time waiter,Surrey,Finn,Jamie
10,Michael,0,6,0,Michael Chakraverty,7,26,Theatre manager/fitness instructor,Stratford-upon-Avon,Chakraverty,Michael
10,Michelle,0,6,0,Michelle Evans-Fecci,5,35,Print shop administrator,"Tenby, Wales",Evans-Fecci,Michelle
10,Phil,0,7,0,Phil Thorne,4,56,HGV driver,Rainham,Thorne,Phil
10,Priya,0,7,0,Priya O'Shea,6,34,Marketing consultant,Leicester,O'Shea,Priya
10,Rosie,2,4,0,Rosie Brandreth-Poynter,9,28,Veterinary surgeon,Somerset,Brandreth-Poynter,Rosie
10,Steph,1,3,0,Steph Blackwell,10,28,Shop assistant,Chester,Blackwell,Steph
